Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,NBA,LAL,61,21,2,25.8,6-6,220,82,241.8,38.4,79.7,.481,6.1,17.3,.351,32.3,62.5,.517,22.7,33.5,.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5
1996-97,NBA,LAL,56,26,2,26.5,6-6,216,82,243.0,36.8,81.0,.454,6.7,18.3,.367,30.1,62.7,.480,19.7,28.4,.692,13.3,29.4,42.8,22.5,9.0,7.0,14.9,22.2,100.0
1995-96,NBA,LAL,53,29,2,27.1,6-6,204,82,240.0,39.2,81.8,.480,5.8,16.6,.351,33.4,65.2,.512,18.6,25.0,.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
1994-95,NBA,LAL,48,34,3,25.9,6-7,204,82,242.7,40.0,86.4,.463,6.4,18.2,.352,33.6,68.2,.493,18.6,25.3,.735,13.7,28.2,42.0,25.3,9.1,6.9,15.2,23.6,105.1
1993-94,NBA,LAL,33,49,5,26.5,6-6,206,82,240.9,40.1,89.2,.450,2.9,9.8,.300,37.2,79.4,.468,17.2,24.0,.717,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9,100.4
1992-93,NBA,LAL,39,43,5,28.0,6-7,213,82,241.8,40.4,85.3,.473,2.3,7.6,.299,38.1,77.7,.490,21.2,28.1,.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2
1991-92,NBA,LAL,43,39,6,28.3,6-6,208,82,241.8,38.8,85.1,.456,1.5,5.4,.267,37.4,79.7,.469,21.3,27.8,.766,14.1,26.8,40.9,22.0,9.2,4.9,13.3,18.8,100.4
1990-91,NBA,LAL,58,24,2,28.4,6-7,217,82,241.8,40.8,84.3,.484,2.8,9.1,.304,38.0,75.2,.505,22.0,27.6,.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3
1989-90,NBA,LAL,63,19,1,28.9,6-7,211,82,242.1,41.9,85.5,.490,3.8,10.3,.367,38.1,75.2,.507,23.2,29.5,.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7
1988-89,NBA,LAL,57,25,1,29.5,6-7,211,82,241.5,43.7,87.1,.502,2.8,8.1,.340,40.9,79.0,.518,24.5,30.6,.802,13.3,31.9,45.2,27.8,8.8,5.1,16.4,20.4,114.7
1987-88,NBA,LAL,62,20,1,28.9,6-7,211,82,241.5,43.6,86.3,.505,1.7,5.8,.297,41.9,80.5,.520,23.9,30.2,.789,13.1,30.4,43.5,28.6,8.2,4.9,16.1,20.9,112.8
1986-87,NBA,LAL,65,17,1,27.8,6-7,209,82,240.6,45.6,88.4,.516,2.0,5.5,.367,43.6,82.9,.526,24.5,31.1,.789,13.7,30.7,44.4,29.6,8.9,5.9,16.6,22.6,117.8
1985-86,NBA,LAL,62,20,1,28.1,6-8,210,82,241.8,46.8,89.5,.522,1.7,5.0,.337,45.1,84.6,.533,22.1,28.4,.778,13.4,31.2,44.6,29.7,8.5,5.1,17.9,24.8,117.3
1984-85,NBA,LAL,62,20,1,27.4,6-7,208,82,240.9,48.2,88.5,.545,1.1,3.6,.305,47.1,84.9,.555,20.8,27.2,.763,13.0,31.1,44.1,31.4,8.5,5.9,18.7,23.5,118.2
1983-84,NBA,LAL,54,28,1,27.5,6-7,206,82,241.2,47.0,88.4,.532,0.7,2.8,.257,46.3,85.7,.540,20.9,27.7,.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25.0,115.6
1982-83,NBA,LAL,58,24,1,26.9,6-7,200,82,240.6,48.3,91.6,.528,0.1,1.2,.104,48.2,90.4,.533,18.2,24.8,.736,15.1,29.7,44.7,30.7,10.3,5.8,19.3,23.5,115.0
1981-82,NBA,LAL,57,25,1,26.8,6-7,199,82,242.1,47.8,92.5,.517,0.2,1.1,.138,47.6,91.4,.521,18.9,26.4,.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6
1980-81,NBA,LAL,54,28,2,27.0,6-7,196,82,241.5,46.1,90.0,.512,0.2,1.1,.181,45.9,88.9,.516,18.8,25.8,.729,14.2,30.4,44.6,28.8,9.9,6.7,19.0,23.8,111.2
1979-80,NBA,LAL,60,22,1,26.2,6-7,202,82,242.4,47.5,89.9,.529,0.2,1.2,.200,47.3,88.6,.534,19.8,25.5,.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1
