Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,NBA,SAC,27,23,4,26.1,6-7,222,50,244.0,38.4,86.1,.445,5.8,18.9,.308,32.6,67.3,.484,17.7,25.9,.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2
1997-98,NBA,SAC,27,55,5,26.6,6-6,216,82,240.6,36.1,81.5,.442,3.5,9.8,.351,32.6,71.7,.455,17.6,25.6,.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
1996-97,NBA,SAC,34,48,6,27.4,6-6,211,82,242.1,36.6,80.6,.454,5.0,12.9,.391,31.5,67.7,.466,18.2,25.2,.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4
1995-96,NBA,SAC,39,43,5,26.6,6-6,213,82,240.9,36.2,79.2,.457,5.6,14.6,.387,30.6,64.6,.473,21.5,29.4,.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5
1994-95,NBA,SAC,39,43,5,26.4,6-5,209,82,242.1,36.9,78.8,.468,4.4,12.6,.346,32.5,66.2,.491,20.1,28.3,.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2
1993-94,NBA,SAC,28,54,6,26.7,6-5,207,82,240.9,38.8,85.7,.452,3.1,8.9,.353,35.6,76.8,.464,20.4,28.0,.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
1992-93,NBA,SAC,25,57,7,26.5,6-5,205,82,241.2,41.0,88.6,.463,3.2,9.6,.332,37.8,79.0,.478,22.7,29.8,.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9
1991-92,NBA,SAC,29,53,7,25.1,6-5,207,82,241.8,40.8,87.7,.466,2.9,8.2,.353,37.9,79.4,.477,19.7,26.4,.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3
1990-91,NBA,SAC,25,57,7,25.9,6-6,208,82,240.3,37.6,83.1,.453,2.6,7.0,.374,35.0,76.1,.460,18.8,25.7,.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7
1989-90,NBA,SAC,23,59,7,26.4,6-6,209,82,240.9,40.3,86.0,.468,2.6,7.9,.333,37.7,78.1,.482,18.5,24.0,.771,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7
1988-89,NBA,SAC,27,55,6,25.2,6-7,208,82,241.2,41.0,89.6,.457,3.7,10.0,.373,37.3,79.6,.468,19.8,25.7,.770,13.9,29.9,43.8,24.0,7.6,5.0,16.7,22.9,105.5
1987-88,NBA,SAC,24,58,6,26.1,6-7,209,82,241.2,42.2,89.5,.471,1.8,5.5,.320,40.4,84.0,.481,21.9,28.3,.772,15.0,30.0,45.0,25.8,7.1,6.0,17.8,23.1,108.0
1986-87,NBA,SAC,29,53,5,26.3,6-7,217,82,241.2,43.0,90.4,.475,0.9,3.7,.251,42.0,86.7,.485,24.1,30.2,.796,15.6,29.8,45.4,26.6,6.3,4.8,17.1,24.5,110.9
1985-86,NBA,SAC,37,45,5,26.6,6-7,212,82,241.2,43.1,88.0,.490,0.4,1.6,.224,42.8,86.4,.495,22.2,28.5,.778,13.8,29.0,42.8,28.1,7.3,4.7,18.7,26.0,108.8
1984-85,NBA,KCK,31,51,6,26.1,6-6,209,82,240.9,44.7,88.7,.504,0.8,2.9,.265,43.9,85.8,.512,24.7,31.6,.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8
1983-84,NBA,KCK,38,44,4,26.2,6-6,209,82,240.9,42.9,88.2,.486,0.6,2.3,.275,42.2,85.9,.492,23.6,30.4,.777,14.0,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110.0
1982-83,NBA,KCK,45,37,3,24.5,6-6,208,82,241.2,45.4,91.3,.497,0.6,2.6,.237,44.7,88.7,.505,22.4,30.9,.727,15.3,29.4,44.7,26.3,9.3,5.0,20.6,29.7,113.8
1981-82,NBA,KCK,30,52,4,24.0,6-6,208,82,242.4,44.0,88.8,.495,0.3,1.6,.200,43.6,87.2,.500,18.9,26.3,.719,13.2,27.8,41.0,25.1,9.1,4.9,18.4,28.8,107.1
1980-81,NBA,KCK,40,42,2,26.2,6-6,210,82,241.8,43.6,87.2,.500,0.6,2.0,.292,43.0,85.2,.505,19.2,26.9,.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9
1979-80,NBA,KCK,47,35,2,25.5,6-5,206,82,241.5,43.7,91.3,.478,0.3,1.4,.219,43.4,89.9,.482,20.4,27.4,.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0
