Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,NBA,PHO,55,27,3,26.9,6-6,207,82,240.6,43.6,87.8,.496,1.7,5.3,.319,41.9,82.5,.508,25.2,32.7,.770,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0
1989-90,NBA,PHO,54,28,3,26.7,6-6,208,82,242.1,43.2,87.1,.496,2.1,6.6,.324,41.1,80.4,.511,26.3,33.1,.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9
1988-89,NBA,PHO,55,27,2,25.7,6-6,209,82,240.9,45.8,92.0,.498,2.0,5.9,.349,43.7,86.1,.508,25.0,31.6,.791,13.4,31.9,45.3,27.8,8.5,5.1,15.6,23.6,118.6
1987-88,NBA,PHO,28,54,4,27.5,6-6,207,82,240.6,43.3,89.0,.486,1.4,4.4,.331,41.9,84.7,.494,20.5,26.8,.764,13.6,29.0,42.6,28.4,8.2,4.3,17.2,24.9,108.5
1986-87,NBA,PHO,36,46,5,26.0,6-7,204,82,242.1,43.6,87.7,.497,0.7,3.1,.242,42.9,84.6,.506,23.2,30.5,.760,13.6,28.9,42.4,28.7,8.6,4.8,18.3,25.0,111.1
1985-86,NBA,PHO,32,50,3,26.3,6-7,204,82,241.5,42.9,85.3,.503,0.5,2.2,.208,42.4,83.0,.511,23.8,32.7,.726,12.6,29.9,42.5,27.7,9.4,4.6,21.5,27.6,110.0
1984-85,NBA,PHO,36,46,3,26.4,6-6,198,82,241.5,42.8,87.1,.491,1.1,3.7,.283,41.7,83.4,.500,21.4,27.8,.771,12.5,29.6,42.1,28.5,8.9,4.3,19.3,24.8,108.0
1983-84,NBA,PHO,41,41,4,27.2,6-7,200,82,241.2,44.8,88.0,.509,0.9,3.5,.254,43.9,84.5,.520,20.4,26.9,.759,13.0,28.0,41.0,27.0,8.5,4.7,17.7,26.2,111.0
1982-83,NBA,PHO,53,29,2,26.6,6-7,198,82,240.6,43.4,87.3,.497,0.5,1.9,.253,42.9,85.4,.502,19.8,26.7,.743,13.3,30.7,44.0,28.0,9.1,6.0,18.8,25.1,107.0
1981-82,NBA,PHO,46,36,3,26.4,6-7,202,82,241.8,42.8,87.1,.491,0.7,2.1,.310,42.1,85.0,.496,19.9,26.3,.758,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2
1980-81,NBA,PHO,57,25,1,25.7,6-6,203,82,240.9,43.7,89.3,.490,0.4,2.0,.217,43.3,87.4,.496,22.1,29.6,.745,15.0,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110.0
1979-80,NBA,PHO,55,27,3,26.5,6-5,202,82,240.9,43.5,88.2,.493,0.8,3.4,.243,42.7,84.8,.504,23.2,30.1,.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1
